returnOnEquity,Debt to Equity,PE ratio,Revenue Growth,operatingProfitMargin,Class
0.0043,2.7886,0.0,-0.0843,1.0,0
0.1258,0.0,20.3333,0.047,1.0,1
0.1932,0.5536,13.5227,0.1127,1.0,0
-0.4874,0.0,0.0,0.5845,1.0,0
0.0768,0.1701,10.5781,1.2033,1.0,1
0.0816,0.987,10.9378,0.0409,1.0,1
0.2417,0.407,13.5573,0.1915,1.0,1
0.4709,1.7411,13.3848,-0.0083,1.0,1
0.0612,0.5078,35.4978,0.0082,1.0,1
-0.1523,0.7613,0.0,0.0151,1.0,0
0.0223,5.1235,15.8005,-0.0144,1.0,1
0.0645,0.225,14.5,1.0727,1.0,0
0.2826,2.4255,2.28,0.3043,1.0,0
0.1766,0.3142,14.7066,0.5413,1.0,0
0.0898,0.5716,12.2,0.0686,1.0,1
0.6204,0.5635,16.5499,0.055,1.0,1
-0.0095,0.7324,0.0,0.7948,1.0,0
0.175,1.43,19.2679,0.0344,1.0,1
-0.0102,1.2611,0.0,0.053,1.0,1
-0.0293,0.6929,0.0,0.1994,1.0,1
0.0973,3.0413,131.24,0.1919,1.0,1
0.2417,1.6172,13.1322,-0.0436,1.0,1
-0.2501,2.9459,0.0,-0.0087,1.0,0
0.1937,0.4837,11.3667,0.4264,1.0,0
-0.1528,0.5246,0.0,0.1533,1.0,1
0.1901,1.6348,6.2394,0.0945,1.0,1
0.1871,0.2322,5.7158,0.0542,1.0,1
0.2502,0.3427,10.8093,0.0387,1.0,1
-0.1855,0.4047,0.0,-0.1663,1.0,1
0.0404,0.3208,21.7869,0.1503,1.0,0
0.1957,0.043,21.6934,-0.1051,1.0,1
0.0646,0.8668,37.0843,0.0433,1.0,1
-3.3588,4.3713,0.0,1.2462,1.0,0
0.1933,0.8542,74.3281,0.3682,1.0,0
0.1224,0.1457,100.1592,0.6442,1.0,1
0.2319,0.7071,20.0096,0.1247,1.0,1
0.1435,0.5637,5.2072,0.3367,1.0,0
-0.0086,0.0459,0.0,0.0791,1.0,1
0.2313,0.7611,72.6291,0.3093,1.0,1
0.2312,1.9776,96.2806,0.3508,1.0,1
0.2379,0.9277,16.3158,0.1549,1.0,1
0.263,1.1731,16.0959,0.0738,1.0,1
0.2814,4.6325,18.419,0.1067,1.0,1
0.0824,0.6124,24.9567,0.2425,1.0,1
0.1167,0.8415,9.344,0.0913,1.0,1
-0.8634,0.0,0.0,0.366,1.0,1
0.1846,0.0,12.0366,0.0788,1.0,0
0.0643,1.0353,17.7661,0.1637,1.0,1
-0.0106,1.5289,0.0,0.0816,1.0,1
0.0085,0.99,171.08700000000002,0.643,1.0,1
0.57,4.1025,8.2434,0.0514,1.0,1
0.1073,0.9572,10.9394,0.0206,1.0,1
